objectid,pghdb_sde_zoning_area,perimeter,zoning,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_area,shape_length
15,21392.5818871,595.55668248,17,17,R1D-L,595.55668248,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,c73ae7e2-66d3-46e8-b6c7-188758d15e58,,,,,21392.581817627,595.556682495607
16,435690.53285816,4245.80533317,18,18,NDI,4245.80533317,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved,83dcfe10-b909-4bb9-8124-098aa26cc2bf,,,,,435690.532897949,4245.805333147
17,1498016.58833171,6266.33722531,19,19,P,6266.33722531,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,2d26465a-b355-4651-a47a-e07ee666b79c,,,,,1498016.5881958,6266.33722531355
18,2214486.73887709,11146.76345571,20,20,R1D-L,11146.7634557,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,44afbae0-2748-458a-807a-681720ad6985,,,,,2214486.73883057,11146.7634556889
19,427781.61628558,3115.96900382,21,21,R2-L,3115.96900382,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,fd689ad1-87b4-4b35-b3d2-637e478bfee3,,,,,427781.61630249,3115.9690038028
20,171374.41800511,2088.21664321,22,22,UI,2088.21664321,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,ab004349-71c8-458c-bec4-3f4dd5b89180,,,,,171374.417999268,2088.21664324825
21,175991.35072565,2333.49596178,23,23,P,2333.49596178,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,124192d6-9eef-4dda-a693-cd51101e0bd0,,,,,175991.350738525,2333.49596175111
22,1851600.22500453,9986.35468978,24,24,R1D-L,9986.35468978,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,a46fba43-46f2-47d4-94ad-3e988a8ae9ed,,,,,1851600.22503662,9986.35468975991
23,48882.52846068,1069.50301856,25,25,R1D-L,1069.50301856,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,72de3c95-2a97-4f8a-8ad3-dfcba9208477,,,,,48882.5284118652,1069.50301854196
24,87265.78935601,1329.91940014,26,26,AP,1329.91940014,,RESIDENTIAL/COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,3dc7799e-87d4-46aa-892e-643860c67af2,,,,,87265.7893676758,1329.91940013898
25,18268.6031359,538.17623411,27,27,RM-M,538.17623411,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,a660015e-df9c-45b5-8c7b-652cbcb97e6a,,,,,18268.6031494141,538.17623413277
26,3858266.67812432,14451.40436161,28,28,R2-L,14451.4043616,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,89ae1915-a8b4-4686-9f82-a1eacb69e028,,,,,3858266.67831421,14451.4043616101
27,594812.97205669,5103.75880105,29,29,H,5103.75880105,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved,7b6205bd-b99c-425e-a8c1-cf3e6dc961fc,,,,,594812.972045898,5103.75880102468
28,505375.67348497,5862.86221276,30,30,LNC,5862.86221276,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,f3a54850-df8d-40ad-b6b0-1c6e89ef1820,,,,,505375.673522949,5862.86221278513
29,50413.78237695,940.64917595,31,31,RM-M,940.64917595,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,f6322297-656c-4a59-812e-d19cd7ea5ea2,,,,,50413.7823791504,940.649175929271
30,723624.54113923,6417.61486218,32,32,LNC,6367.07232944,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,3afa7ce6-c707-47cd-a457-5df2be5f195d,,,,,723624.54119873,6417.61486219466
31,192987.42087427,1912.96140002,33,33,LNC,1912.96140002,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,e03fb405-db79-4e0e-9958-de83fd4337d3,,,,,192987.420898438,1912.96140000322
32,838583.4873777,7940.35944451,34,34,P,7940.35944451,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,92ef0614-1064-4d8a-99d6-c89d49934029,,,,,838583.48739624,7940.35944447596
33,518844.16936471,6239.68554391,35,35,P,6239.68554391,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,092d95d2-6cc4-43bb-82f5-9df89fe4f533,,,,,518844.169433594,6239.68554384295
34,1622416.7479766,17209.85970523,36,36,R2-L,17209.8597052,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,c4c19b0d-9968-4c5f-b860-78e646adc829,,,,,1622416.74795532,17209.8597053368
35,1829363.8139721,8536.59967832,37,37,R1D-L,8536.59967832,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,887b292d-afe4-4d66-ab14-e77ff24204ac,,,,,1829363.81378174,8536.59967827651
