objectid,pghdb_sde_zoning_area,perimeter,zoning,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_area,shape_length
178,21261.22416941,666.82972376,193,193,LNC,666.82972376,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,836b0786-1e0f-4182-bb6f-6543647f6e65,,,,,21261.2241821289,666.829723743353
179,53397.6230782,1006.04531686,194,194,NDI,1006.04531686,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved,4901d00d-9d46-4c09-beb6-f63ece78b427,,,,,53397.623046875,1006.04531688087
180,8470611.05486528,33669.96439512,195,195,R1D-H,33669.9643951,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,ac5330e6-db27-454d-af94-8283505e8897,,,,,8470611.05484009,33669.9643951799
181,395479.05420523,3213.35982917,196,196,CP,3213.35982917,,COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,211dc5e9-181c-4b6b-af47-e20bfe19f9e7,,,,,395479.054168701,3213.35982920762
182,2130146.75392839,6073.02070792,198,198,RM-M,6073.02070792,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,a1a1dfce-e05e-4f8b-b38b-8bfac0768334,,,,,2130146.75411987,6073.02070792607
183,47654.67977279,934.93233407,199,199,LNC,934.93233407,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,7b1f1417-0152-4b23-accb-0b0fc549aaaa,,,,,47654.6798095703,934.932334070676
184,375623.75692068,4847.34987452,200,200,NDI,4847.34987452,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved,9c66397d-2d45-447d-ab4a-38fb34171c71,,,,,375623.756835938,4847.34987449408
185,1527774.2269346,7314.22262582,201,201,RP,7314.22262582,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,e0d54bbf-f03e-478f-8543-0f59a71e33bf,,,,,1527774.22686768,7314.22262583459
186,520316.0629698,5749.95304412,202,202,P,5749.95304412,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,d7fdcbdf-5211-4fe4-86ed-464c54709d37,,,,,520316.062927246,5749.95304413407
187,19734.19946776,742.80676599,203,203,P,742.80676599,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,28776a30-d588-4dac-a458-dd86c00bd76d,,,,,19734.1994934082,742.806765991296
188,9462385.55758099,13613.05490155,204,204,MTOBOR,13613.0549015,,MOUNT OLIVER BOROUGH,Mount Oliver Borough,http://mountoliver.us/,Approved,19fc2d83-329b-4b08-9c9b-ed05af7bebca,,,,,9462385.55758667,13613.0549015197
189,16957672.2304193,50656.41900556,205,205,P,50656.4190056,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,ec2b0c98-a404-4878-919d-785d2a962d81,,,,,16957672.2304077,50656.4190056234
190,417515.04903909,4514.82802963,206,206,R2-M,4514.82802963,,TWO-UNIT RESIDENTIAL MODERATE DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,8f04954d-7421-407a-8ee0-6511387b429b,,,,,417515.049102783,4514.82802958802
191,84475.40380895,1479.07099061,207,207,P,1479.07099061,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,ab8f258f-dba7-4bfd-b527-e32701e089b5,,,,,84475.4037475586,1479.07099061892
192,92744.05021832,1721.41584254,208,208,RM-M,1721.41584254,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,952e86d9-38cf-478d-870d-3e450e9c896d,,,,,92744.0501708984,1721.41584253239
193,40363.80913778,820.98026914,209,209,R1D-L,820.98026914,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,1c6a59d4-e7c3-4d7c-85ae-e1959b00bd52,,,,,40363.8091430664,820.980269159432
194,477733.97625555,4346.36959668,210,210,R1D-H,4346.36959668,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,1e464735-a50c-497a-a3e2-14d87add8393,,,,,477733.976379395,4346.36959671795
195,510057.61743434,4709.94535031,211,211,HC,4752.73815677,,HIGHWAY COMMERCIAL,Highway Commercial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.05HC*,Approved,8dbdc2d5-995d-4408-9bf3-5d8e844c3453,,,,,510057.617584229,4709.94535029119
196,7302.54585894,464.38697578,212,212,R1D-L,464.38697578,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,d4b7eab3-06ae-41f3-a976-fbba94a6ab23,,,,,7302.54586791992,464.386975779199
197,840136.66727516,5097.97455228,213,213,P,5097.97455228,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,c2ab5469-ba12-4575-94df-d4774980a4fb,,,,,840136.667388916,5097.97455231742
198,650778.45384855,3929.25796366,214,214,P,3929.25796366,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,b0a9c464-5afa-442c-a243-0f81eafcb67a,,,,,650778.453857422,3929.25796368087
199,1325335.10510527,9517.4782679,215,215,H,9517.4782679,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved,f5df02af-4dae-4b9f-aff1-9ff2eaaa51a9,,,,,1325335.10507202,9517.47826794981
200,277940.80851163,3411.13011286,226,226,LNC,3411.13011286,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,9cae0ff2-a760-4c0b-8c88-6553d0159b53,,,,,277940.80859375,3411.13011287718
201,114383.68308462,1338.77235997,228,228,RP,1338.77235997,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,38424dba-d510-4a06-96f3-1e839a89aabb,,,,,114383.683166504,1338.77235995779
202,7580341.26022633,16825.10667512,229,229,R2-H,16825.1066751,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,d192a738-6801-4d5c-afbd-a1f987cc7411,,,,,7580341.25997925,16825.106675184
203,125850.9768633,1810.9666216,911,911,R3-M,1810.9666216,,THREE-UNIT RESIDENTIAL MODERATE DENSITY,Three-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,5ef408dd-edc0-4ed7-8534-0fba113e2950,,,,,125850.976867676,1810.96662161509
204,15127042.9773639,53965.04509091,217,217,P,53965.0450909,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,d627aeb1-b834-40b7-acf8-9b70fe6718d4,,,,,15127042.9771423,53965.045091049
205,1391722.09666874,6243.22938659,218,218,R2-L,6243.22938659,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,1d8c80b2-9b1c-42d4-807c-8488e67171e6,,,,,1391722.09664917,6243.22938667146
206,230493.37984802,2020.89862248,219,219,R2-M,2020.89862248,,TWO-UNIT RESIDENTIAL MODERATE DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,c56bae90-e140-49d5-8edd-c8c7d8aec2e9,,,,,230493.380004883,2020.89862248754
207,612006.42714476,4106.73489077,220,220,UI,4106.73489077,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,6b41e351-94f4-4876-9128-8699f2c6e50e,,,,,612006.427215576,4106.73489077368
208,22589.30277572,631.38852899,221,221,NDI,631.38852899,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved,87e317df-a09e-4422-9130-e6749e6dc3fe,,,,,22589.3027648926,631.388528999033
209,152909.60287716,2238.11498404,222,222,UI,2238.11498404,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,36e5cabe-7cee-4d29-b0a7-9825434d66b1,,,,,152909.602752686,2238.1149840759
210,1924710.66318962,7079.19587843,223,223,R1D-L,7079.19587843,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,e0fa36fb-ef4e-4f59-a2e8-89fae40e6aa3,,,,,1924710.66320801,7079.19587835652
211,472736.29029216,4466.03478321,224,224,P,4466.03478321,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,e2ab53e4-a585-4337-aa19-e4ac8078d617,,,,,472736.290222168,4466.03478318216
212,2024698.87904159,8002.19821051,225,225,RP,8002.19821051,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,65f26b40-abc9-4341-ac6b-bce7d01fc234,,,,,2024698.87902832,8002.19821047538
213,94166.46252473,1277.9823901,467,467,R2-L,1277.9823901,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,b20784e0-e8e5-4181-a31f-cdc5f3f353b6,,,,,94166.4624938965,1277.98239010386
214,104541.08838866,1888.27177836,230,230,LNC,1888.27177836,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,90e02578-a245-4a06-993f-c66d52b77933,,,,,104541.088317871,1888.27177832554
215,184708.06423694,2523.53738828,231,231,R2-L,2523.53738828,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,99e7ec93-7b25-488e-be9c-be99d0568f1f,,,,,184708.064147949,2523.53738827645
216,116656.90907463,1977.86958332,232,232,P,1977.86958332,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,6bcd0f5b-af53-4ccc-9211-0795d91ba90e,,,,,116656.909088135,1977.86958335599
217,89339.02612622,1401.89314962,233,233,RM-M,1401.89314962,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,1bb5494f-97d9-4ed4-b1c2-a0f5a65e291c,,,,,89339.0261230469,1401.89314963274
218,258756.83283044,2033.25273306,234,234,P,2033.25273306,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,326e4817-7b42-4868-8730-1994bf4e91cf,,,,,258756.832794189,2033.25273305519
219,853115.35707103,5529.95846277,235,235,GI,5529.95846277,,GENERAL INDUSTRIAL,General Industrial  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.06GI*,Approved,b22b9ab3-3dba-421a-9e2a-ba888874fb3e,,,,,853115.357208252,5529.95846281504
220,518347.73555167,6323.876097,236,236,LNC,6323.876097,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,229d57a6-b489-40d4-aabf-3625fff544cd,,,,,518347.73538208,6323.87609703848
221,1373297.48389918,5742.35011873,237,237,R2-L,5742.35011873,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,6893505f-d42d-4d04-be85-326aece70c51,,,,,1373297.48406982,5742.35011874989
222,3952976.53873112,12403.41015972,241,241,R1D-H,12403.4101597,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,bb6da766-3fd5-4456-9221-3f0d8a96d969,,,,,3952976.53842163,12403.4101596459
223,109976.48733809,1462.86785071,242,242,P,1462.86785071,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,6cbcfa65-24af-4382-8bc7-4fdd46e3861d,,,,,109976.487335205,1462.86785072909
224,774443.76944606,6270.2913513,244,244,R1A-VH,6270.2913513,,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,f89ebb84-7cb2-45cc-9d2a-44694fd7a290,,,,,774443.769592285,6270.29135133844
225,3586.96227671,332.99261313,245,245,P,332.99261313,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,79cd6ba4-b244-423a-afde-1bb79e933836,,,,,3586.96240234375,332.992613126174
226,105165.79184526,1532.89692078,247,247,RM-M,1532.89692078,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,ab7e5bf1-3c8a-41c4-b60f-407452cc872d,,,,,105165.791870117,1532.89692078912
227,235450.28372173,2605.82075419,248,248,R1A-VH,2600.8765673,,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,e85eb8a3-6ca5-48f2-8d44-5ac3515e6b08,,,,,235450.283691406,2605.82075420204
228,2393300.83698567,16765.25874929,249,249,H,16718.6568123,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved,95148f5a-73c6-4a81-be72-217175ce6ad0,,,,,2393300.83709717,16765.2587492313
229,1337249.40958639,5464.65474879,251,251,R1D-L,5464.65474879,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,287b92b7-d021-490a-ade2-d17bc92f0236,,,,,1337249.40948486,5464.65474876486
230,417248.44920832,2808.89392821,252,252,R1A-H,2808.89392821,,SINGLE-UNIT ATTACHED RESIDENTIAL HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,7ea8e5af-e1cd-465f-902d-edef1bc889d3,,,,,417248.449279785,2808.89392821188
231,2861046.95583778,11990.31542216,253,253,P,11990.3154222,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,586af688-3851-417c-9c71-321c58f3ba96,,,,,2861046.95602417,11990.3154221184
232,4462156.14437387,11797.15161592,254,254,R1D-L,11797.1516159,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,b4a2abc7-7aa8-479e-b589-e0dd7b5008a1,,,,,4462156.14468384,11797.1516158898
233,284303.40554346,3083.73476108,271,271,R1D-M,3083.73476108,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,26e8c2ae-0482-47fb-969e-7dc79fc99598,,,,,284303.405578613,3083.73476104655
234,876994.20891581,5554.92240651,255,255,R1A-VH,5554.92240651,,SINGLE-UNIT ATTACHED RESIDENTIAL VERY HIGH DENSITY,Single-Unit Attached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,0850a3dd-756e-4e20-b078-4d689c166aa9,,,,,876994.208862305,5554.92240655863
235,578129.90149759,5142.74102822,256,256,R1D-M,5142.74102822,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,248defcf-f0ed-4993-9c24-11a83e2554eb,,,,,578129.901611328,5142.74102824174
236,131906.51535509,1778.88045842,259,259,NDI,1778.88045842,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved,762c9d15-6380-4c55-a347-cbacfe3e4002,,,,,131906.515350342,1778.88045839354
237,291607.75152588,2262.56047739,260,260,P,2262.56047739,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,5f893b0e-d909-4a65-9d34-8c4b5cb432f1,,,,,291607.751586914,2262.5604773885
238,4020129.07134256,21806.91311224,261,261,H,21806.9131122,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved,732d87e1-414a-44d3-bba5-1d7cf5c80d3a,,,,,4020129.0715332,21806.913112125
239,1734414.10466353,7825.09420571,262,262,R1D-H,7825.09420571,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,48faac88-fe4d-44c4-b189-d6342f8050e4,,,,,1734414.10455322,7825.09420568181
240,115471.40566905,1628.63492766,263,263,P,1628.63492766,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,3bc8b758-0ac9-426a-9ac9-19c7e804f8e7,,,,,115471.405639648,1628.63492765536
241,4502023.71213793,19738.28163924,266,266,P,19738.2816392,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,c534fb72-0e23-476c-9550-03f858e4023c,,,,,4502023.71200562,19738.281639323
242,257301.53657689,2967.36569363,267,267,LNC,2967.36569363,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,29c7ca7b-4ef2-43f1-bcc3-ef254d1fb59c,,,,,257301.536682129,2967.36569361085
243,243572.51734387,3211.8762206,269,269,RP,3211.8762206,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,7d8a0ffe-9a7e-4406-a124-b81f7266a987,,,,,243572.51739502,3211.87622059576
244,890756.45374151,5112.64033787,270,270,R1D-L,5112.64033787,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,279163ea-870b-4514-93cc-9be4c578d8a2,,,,,890756.453674316,5112.64033792775
245,339211.31793386,3627.45305718,272,272,R1D-H,3627.45305718,,SINGLE-UNIT DETACHED RESIDENTIAL HIGH DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,4d26166e-be1d-4ead-bb2f-c50077fb90b0,,,,,339211.317871094,3627.45305717364
