Neighborhood,Sector #,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),# Sets of Steps,# Step Treads,Res. Permit Parking Area(s),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Northview Heights,1,1214,3.157817952,5.789991319,18.49837482,0,0,None,296,0.084459459,0,0.773648649,0,0,0,0.057432432,0,0.084459459
Oakwood,4,1027,1.768451849,5.716051012,22.68274211,3,57,None,431,0.784222738,0.025522042,0.122969838,0,0,0,0.046403712,0,0.020881671
Overbrook,5,3644,2.661942819,20.9239568,24.93916185,14,820,None,2015,0.6808933,0.137965261,0.15483871,0,0,0,0.02630273,0,0
Perry North,2,4050,5.561945893,27.10881167,22.36700632,18,997,None,2056,0.673638132,0.141050584,0.131322957,0,0,0,0.036964981,0,0.017023346
Perry South,2,4145,3.453816891,23.12185077,25.54900637,29,1783,None,1485,0.526599327,0.102356902,0.327946128,0,0,0,0.036363636,0,0.006734007
Point Breeze,10,5315,5.126703698,21.32984338,21.24486393,4,129,None,3177,0.646207114,0.075857727,0.158010702,0,0,0.011646207,0.039030532,0.011331445,0.057916273
Point Breeze North,11,2054,1.628189495,6.738540095,23.561329,0,0,None,969,0.399380805,0.163054696,0.357069143,0,0,0,0.015479876,0.012383901,0.052631579
Polish Hill,13,1274,1.464356512,8.016373436,31.43675857,16,988,None,921,0.729641694,0.096634093,0.112920738,0,0,0,0.01194354,0,0.048859935
Regent Square,10,928,0.46052995,4.505530043,23.46630231,0,0,None,614,0.605863192,0.092833876,0.234527687,0,0,0,0.030944625,0,0.035830619
Ridgemont,4,483,3.305960891,6.773534654,18.35646248,2,76,None,276,0.804347826,0.047101449,0,0,0,0,0.148550725,0,0
Shadyside,12,13915,4.291495858,27.23777923,29.57413597,0,0,"J, U, V, X, Y",8223,0.448498115,0.073330901,0.268636751,0,0.003526693,0.011796181,0.172807978,0.004499574,0.016903806
Sheraden,4,5299,1.838356314,31.11469966,34.9603367,20,1189,None,2438,0.536915505,0.207957342,0.209187859,0,0,0,0.016817063,0.02337982,0.005742412
South Oakland,14,2969,8.066483655,19.21545582,37.82570043,11,689,"E, M",1132,0.465547703,0.028268551,0.139575972,0.007067138,0,0,0.302120141,0.009717314,0.04770318
South Shore,16,19,3.635073685,7.984265342,37.66162897,0,0,None,38,0.763157895,0,0.236842105,0,0,0,0,0,0
South Side Flats,7,6597,4.093688945,25.9395057,27.71314711,2,83,DD,4328,0.530268022,0.080406654,0.15642329,0,0.00323475,0.013863216,0.193160813,0.00254159,0.020101664
South Side Slopes,7,4423,2.533908324,22.24312227,31.06581322,66,5402,None,2586,0.629156999,0.135344161,0.113302398,0,0,0,0.098607889,0.002320186,0.021268368
Spring Garden,1,884,1.927613441,6.549380972,23.81593081,14,1053,None,638,0.413793103,0.304075235,0.067398119,0,0,0.051724138,0.12539185,0,0.037617555
Spring Hill-City View,1,2648,1.920682537,15.18164776,24.09785358,16,1393,None,899,0.530589544,0.182424917,0.147942158,0,0,0.063403782,0.044493882,0,0.031145717
Squirrel Hill North,10,11363,8.191533235,26.46335279,21.65577151,4,252,"J, K, Z",5962,0.475343844,0.044951359,0.110868836,0,0.002012747,0.015598792,0.260818517,0,0.090405904
Squirrel Hill South,10,15110,7.989167647,46.67163473,17.47346864,5,112,None,7779,0.540429361,0.086514976,0.227407122,0,0.001799717,0.025067489,0.068260702,0.002571025,0.047949608
St. Clair,7,209,1.365049263,4.356591757,14.0535218,1,26,None,289,0.307958478,0,0.55017301,0,0,0,0.100346021,0,0.041522491
Stanton Heights,13,4601,2.156133074,20.53278785,27.93576579,11,762,None,2468,0.714748784,0.118719611,0.126012966,0.002836305,0.008103728,0.01904376,0.008508914,0,0.002025932
Strip District,13,616,5.162009684,17.340389,28.52037665,1,65,None,277,0.537906137,0.19133574,0.180505415,0,0,0,0,0,0.090252708
Summer Hill,1,1051,4.942394253,12.67740855,28.87792381,0,0,None,643,0.945567652,0.027993779,0.026438569,0,0,0,0,0,0
Swisshelm Park,10,1361,2.038511706,8.542071342,17.79598196,0,0,None,710,0.695774648,0.169014085,0.064788732,0,0,0.030985915,0.029577465,0,0.009859155
Terrace Village,15,3228,0.743196391,7.410399702,21.66783539,3,157,None,1031,0.162948594,0.064015519,0.451988361,0,0,0,0.312318138,0,0.008729389
Troy Hill,1,2714,2.395129937,13.6274098,29.62480391,10,598,None,1370,0.650364964,0.137956204,0.099270073,0,0,0,0.084671533,0.011678832,0.016058394
Upper Hill,15,2057,0.769579035,9.56895619,30.57174502,15,695,None,633,0.489731438,0.131121643,0.312796209,0,0,0,0.042654028,0.023696682,0
Upper Lawrenceville,13,2669,1.827842074,12.09054026,29.85318583,9,1121,None,1163,0.56749785,0.054170249,0.250214961,0,0,0.010318143,0.052450559,0,0.065348237
West End,4,254,4.165862736,7.042787477,35.21393738,5,311,None,64,0.484375,0.171875,0.15625,0,0.1875,0,0,0,0
West Oakland,14,2604,1.255169053,6.491867192,30.19473112,6,376,"B, C",834,0.354916067,0.009592326,0.220623501,0,0,0,0.407673861,0.007194245,0
Westwood,4,3066,2.412208981,16.64021421,24.04655233,8,375,None,1563,0.630198337,0.113883557,0.128598848,0,0.011516315,0,0.087012156,0,0.028790787
Windgap,4,1369,1.096688025,8.92229196,21.4994987,1,16,None,567,0.599647266,0.169312169,0.17989418,0,0,0,0,0.051146384,0
